#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.103649E+00   0.431945E+05   0.313257E+05   0.243936E+02   0.243541E+02   0.000000E+00   0.413281E+05   0.413281E+05   0.413286E+05  -0.983559E-01   0.410758E+05   0.396158E+05   0.255658E+02
   0.108175E+00   0.414107E+05   0.311339E+05   0.216031E+02   0.215679E+02   0.000000E+00   0.397946E+05   0.397946E+05   0.397950E+05  -0.947060E-01   0.395172E+05   0.383518E+05   0.195535E+02
   0.112702E+00   0.396933E+05   0.305158E+05   0.191501E+02   0.191189E+02   0.000000E+00   0.382502E+05   0.382502E+05   0.382505E+05  -0.910301E-01   0.379645E+05   0.369675E+05   0.160564E+02
   0.117228E+00   0.379898E+05   0.293420E+05   0.169510E+02   0.169234E+02   0.000000E+00   0.366299E+05   0.366299E+05   0.366302E+05  -0.871740E-01   0.363554E+05   0.353940E+05   0.148855E+02
   0.121755E+00   0.362881E+05   0.276709E+05   0.149728E+02   0.149485E+02   0.000000E+00   0.349330E+05   0.349330E+05   0.349333E+05  -0.831355E-01   0.346862E+05   0.336541E+05   0.153848E+02
   0.126282E+00   0.346086E+05   0.257011E+05   0.132106E+02   0.131892E+02   0.000000E+00   0.332079E+05   0.332079E+05   0.332081E+05  -0.790297E-01   0.329981E+05   0.318375E+05   0.166801E+02
   0.130808E+00   0.329901E+05   0.236975E+05   0.116685E+02   0.116497E+02   0.000000E+00   0.315288E+05   0.315288E+05   0.315290E+05  -0.750337E-01   0.313569E+05   0.300648E+05   0.179286E+02
   0.135335E+00   0.314743E+05   0.219119E+05   0.103464E+02   0.103297E+02   0.000000E+00   0.299706E+05   0.299706E+05   0.299708E+05  -0.713253E-01   0.298293E+05   0.284491E+05   0.185094E+02
   0.139862E+00   0.300949E+05   0.205225E+05   0.923330E+01   0.921845E+01   0.000000E+00   0.285896E+05   0.285896E+05   0.285898E+05  -0.680388E-01   0.284664E+05   0.270699E+05   0.181223E+02
   0.144388E+00   0.288722E+05   0.196017E+05   0.830760E+01   0.829424E+01   0.000000E+00   0.274144E+05   0.274144E+05   0.274146E+05  -0.652419E-01   0.272959E+05   0.259602E+05   0.167901E+02
   0.148915E+00   0.278059E+05   0.191105E+05   0.753837E+01   0.752623E+01   0.000000E+00   0.264385E+05   0.264385E+05   0.264387E+05  -0.629193E-01   0.263139E+05   0.251008E+05   0.147850E+02
   0.153442E+00   0.268703E+05   0.189169E+05   0.688934E+01   0.687821E+01   0.000000E+00   0.256196E+05   0.256196E+05   0.256197E+05  -0.609703E-01   0.254827E+05   0.244249E+05   0.125118E+02
   0.157968E+00   0.260222E+05   0.188402E+05   0.632501E+01   0.631476E+01   0.000000E+00   0.248928E+05   0.248928E+05   0.248929E+05  -0.592407E-01   0.247425E+05   0.238389E+05   0.103814E+02
   0.162495E+00   0.252186E+05   0.187081E+05   0.581711E+01   0.580767E+01   0.000000E+00   0.241948E+05   0.241948E+05   0.241949E+05  -0.575795E-01   0.240343E+05   0.232547E+05   0.870790E+01
   0.167021E+00   0.244292E+05   0.184010E+05   0.534751E+01   0.533882E+01   0.000000E+00   0.234813E+05   0.234813E+05   0.234814E+05  -0.558813E-01   0.233175E+05   0.226136E+05   0.764877E+01
