#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.151846E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.594286E+00
   0.153373E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.600258E+00
   0.154914E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328877E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.606291E+00
   0.156471E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604637E+00   0.245516E+06   0.245516E+06   0.612384E+00
   0.158043E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.618539E+00
   0.159632E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.624755E+00
   0.161236E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.631034E+00
   0.162857E-04   0.246660E+06   0.246660E+06   0.328877E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.637376E+00
   0.164493E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.643782E+00
   0.166146E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.650252E+00
   0.167816E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.656787E+00
   0.169503E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.663388E+00
   0.171206E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.670055E+00
   0.172927E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.676789E+00
   0.174665E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328876E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.683591E+00
   0.176420E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.690461E+00
   0.178193E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.697400E+00
   0.179984E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.704409E+00
   0.181793E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.711489E+00
   0.183620E-04   0.246660E+06   0.246660E+06   0.328876E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.718639E+00
   0.185466E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.725862E+00
   0.187330E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.733157E+00
   0.189212E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.740525E+00
   0.191114E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328875E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.747967E+00
   0.193035E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.755485E+00
   0.194975E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.763077E+00
   0.196934E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.770746E+00
   0.198913E-04   0.246660E+06   0.246660E+06   0.328875E+06   0.328874E+06   0.000000E+00   0.246660E+06   0.246660E+06   0.256639E+06  -0.604636E+00   0.245516E+06   0.245516E+06   0.778492E+00
