M200(Msun), Mstar_low(Msun, Mstar_high(Msun)
12650.337204 0.000000 0.000000
13065.201621 0.000000 0.000000
13493.671406 0.000000 0.000000
13936.192742 0.000000 0.000000
14393.226447 0.000000 0.000000
14865.248450 0.000000 0.000000
15352.750288 0.000000 0.000000
15856.239618 0.000000 0.000000
16376.240745 0.000000 0.000000
16913.295170 0.000000 0.000000
17467.962151 0.000000 0.000000
18040.819287 0.000000 0.000000
18632.463119 0.000000 0.000000
19243.509752 0.000000 0.000000
19874.595496 0.000000 0.000000
20526.377527 0.000000 0.000000
21199.534575 0.000000 0.000000
21894.767629 0.000000 0.000000
22612.800663 0.000000 0.000000
23354.381399 0.000000 0.000000
24120.282076 0.000000 0.000000
24911.300261 0.000000 0.000000
25728.259674 0.000000 0.000000
26572.011053 0.000000 0.000000
27443.433032 0.000000 0.000000
28343.433062 0.000000 0.000000
29272.948350 0.000000 0.000000
30232.946844 0.000000 0.000000
31224.428231 0.000000 0.000000
32248.424984 0.000000 0.000000
33306.003436 0.000000 0.000000
34398.264890 0.000000 0.000000
35526.346766 0.000000 0.000000
36691.423784 0.000000 0.000000
37894.709191 0.000000 0.000000
39137.456020 0.000000 0.000000
40420.958398 0.000000 0.000000
41746.552893 0.000000 0.000000
43115.619903 0.000000 0.000000
44529.585099 0.000000 0.000000
45989.920905 0.000000 0.000000
47498.148032 0.000000 0.000000
49055.837064 0.000000 0.000000
50664.610089 0.000000 0.000000
52326.142395 0.000000 0.000000
54042.164207 0.000000 0.000000
55814.462495 0.000000 0.000000
57644.882829 0.000000 0.000000
59535.331308 0.000000 0.000000
61487.776538 0.000000 0.000000
63504.251686 0.000000 0.000000
65586.856596 0.000000 0.000000
67737.759975 0.000000 0.000000
69959.201654 0.000000 0.000000
72253.494918 0.000000 0.000000
74623.028914 0.000000 0.000000
77070.271142 0.000000 0.000000
79597.770023 0.000000 0.000000
82208.157552 0.000000 0.000000
84904.152041 0.000000 0.000000
87688.560946 0.000000 0.000000
90564.283794 0.000000 0.000000
93534.315203 0.000000 0.000000
96601.747995 0.000000 0.000000
99769.776424 0.000000 0.000000
103041.699495 0.000000 0.000000
106420.924406 0.000000 0.000000
109910.970093 0.000000 0.000000
113515.470892 0.000000 0.000000
117238.180329 0.000000 0.000000
121082.975023 0.000000 0.000000
125053.858729 0.000000 0.000000
129154.966501 0.000000 0.000000
133390.569004 0.000000 0.000000
137765.076955 0.000000 0.000000
142283.045721 0.000000 0.000000
146949.180062 0.000000 0.000000
151768.339028 0.000000 0.000000
156745.541021 0.000000 0.000000
161885.969018 0.000000 0.000000
167194.975973 0.000000 0.000000
172678.090388 0.000000 0.000000
178341.022071 0.000000 0.000000
184189.668080 0.000000 0.000000
190230.118867 0.000000 0.000000
196468.664618 0.000000 0.000000
202911.801805 0.000000 0.000000
209566.239948 0.000000 0.000000
216438.908606 0.000000 0.000000
223536.964591 0.000000 0.000000
230867.799419 0.000000 0.000000
238439.047009 0.000000 0.000000
246258.591635 0.000000 0.000000
254334.576130 0.000000 0.000000
262675.410372 0.000000 0.000000
271289.780037 0.000000 0.000000
280186.655646 0.000000 0.000000
289375.301905 0.000000 0.000000
298865.287355 0.000000 0.000000
308666.494334 0.000000 0.000000
318789.129268 0.000000 0.000000
329243.733301 0.000000 0.000000
340041.193270 0.000000 0.000000
351192.753045 0.000000 0.000000
362710.025233 0.000000 0.000000
374605.003275 0.000000 0.000000
386890.073933 0.000000 0.000000
399578.030190 0.000000 0.000000
412682.084570 0.000000 0.000000
426215.882902 0.000000 0.000000
440193.518521 0.000000 0.000000
454629.546953 0.000000 0.000000
469539.001068 0.000000 0.000000
484937.406734 0.000000 0.000000
500840.798985 0.000000 0.000000
517265.738722 0.000000 0.000000
534229.329954 0.000000 0.000000
551749.237613 0.000000 0.000000
569843.705947 0.000000 0.000000
588531.577519 0.000000 0.000000
607832.312830 0.000000 0.000000
627766.010581 0.000000 0.000000
648353.428605 0.000000 0.000000
669616.005485 0.000000 0.000000
691575.882874 0.000000 0.000000
714255.928554 0.000000 0.000000
737679.760253 0.000000 0.000000
761871.770232 0.000000 0.000000
786857.150694 0.000000 0.000000
812661.920009 0.000000 0.000000
839312.949817 0.000000 0.000000
866837.993002 0.000000 0.000000
895265.712600 0.000000 0.000000
924625.711641 0.000000 0.000000
954948.563979 0.000000 0.000000
986265.846131 0.000000 0.000000
1018610.170156 0.000000 0.000000
1052015.217616 0.000000 0.000000
1086515.774653 0.000000 0.000000
1122147.768208 0.000000 0.000000
1158948.303440 0.000000 0.000000
1196955.702359 0.000000 0.000000
1236209.543737 0.000000 0.000000
1276750.704319 0.000000 0.000000
1318621.401395 0.000000 0.000000
1361865.236756 0.000000 0.000000
1406527.242105 0.000000 0.000000
1452653.925947 0.000000 0.000000
1500293.322019 0.000000 0.000000
1549495.039315 0.000000 0.000000
1600310.313739 0.000000 0.000000
1652792.061465 0.000000 0.000000
1706994.934038 0.000000 0.000000
1762975.375287 0.000000 0.000000
1820791.680099 0.000000 0.000000
1880504.055129 0.000000 0.000000
1942174.681489 0.000000 0.000000
2005867.779508 0.000000 0.000000
2071649.675602 0.000000 0.000000
2139588.871343 0.000000 103.819133
2209756.114796 0.000000 109.028559
2282224.474187 0.000000 114.485120
2357069.413997 0.000000 120.226598
2434368.873543 0.000000 126.246657
2514203.348143 0.000000 132.574522
2596655.972935 0.000000 139.216247
2681812.609453 0.000000 146.190382
2769761.935037 0.000000 153.517943
2860595.535176 0.000000 161.204347
2954407.998880 0.000000 169.288534
3051297.017183 0.000000 177.759945
3151363.484866 0.000000 186.678852
3254711.605532 0.000000 196.015432
3361449.000109 0.000000 205.855211
3471686.818927 0.000000 216.145310
3585539.857460 0.000000 227.000998
3703126.675870 100.764031 238.341987
